,town,latitude,longitude,country
141,Balgownie,-34.39505,150.88051,Australia
142,Ballina,-28.85273,153.48568,Australia
143,Balmain,-33.85481,151.1833,Australia
144,Balmain East,-33.8571,151.19282,Australia
145,Balranald,-34.67839,143.56384,Australia
146,Bangalow,-28.68634,153.52153,Australia
147,Bangor,-34.01667,151.03333,Australia
148,Banksia,-33.94601,151.14304,Australia
149,Bankstown,-33.91667,151.03333,Australia
150,Banora Point,-28.21298,153.53634,Australia
151,Bar Beach,-32.94128,151.76544,Australia
152,Barden Ridge,-34.03413,151.01194,Australia
153,Bardia,-33.97789,150.86306,Australia
154,Bardwell Park,-33.93534,151.12571,Australia
155,Bardwell Valley,-33.93344,151.13668,Australia
156,Bargo,-34.29301,150.57806,Australia
157,Barham,-35.62647,144.12895,Australia
158,Barnsley,-32.93333,151.58333,Australia
159,Barooga,-35.90602,145.69585,Australia
160,Barraba,-30.38547,150.60901,Australia
161,Barrack Heights,-34.56464,150.85692,Australia
162,Basin View,-35.08833,150.55534,Australia
163,Bass Hill,-33.89863,150.99541,Australia
164,Bateau Bay,-33.38334,151.46671,Australia
165,Batehaven,-35.73757,150.19836,Australia
166,Batemans Bay,-35.70658,150.17541,Australia
167,Bathurst,-33.41665,149.5806,Australia
168,Bathurst city centre,-33.41816,149.57621,Australia
169,Bathurst Regional,-33.4731,149.51956,Australia
170,Batlow,-35.51987,148.14727,Australia
171,Baulkham Hills,-33.75881,150.99292,Australia
172,Bay View,-33.65982,151.29878,Australia
173,Beacon Hill,-33.7528,151.25857,Australia
174,Beaumont Hills,-33.69993,150.9411,Australia
175,Beecroft,-33.74954,151.0648,Australia
176,Bega,-36.67392,149.84178,Australia
177,Bega Valley,-36.81646,149.7206,Australia
178,Belfield,-33.90354,151.08467,Australia
179,Bella Vista,-33.74127,150.95456,Australia
180,Bellambi,-34.36667,150.91667,Australia
181,Bellbird,-32.85992,151.31873,Australia
182,Bellevue Hill,-33.87899,151.25101,Australia
183,Bellingen,-30.37394,152.72492,Australia
184,Belmont,-33.0274,151.6601,Australia
185,Belmont North,-33.02081,151.66849,Australia
186,Belmont South,-33.04934,151.65695,Australia
187,Belmore,-33.91901,151.08935,Australia
188,Belrose,-33.73954,151.21033,Australia
189,Bensville,-33.49757,151.38084,Australia
190,Berala,-33.87197,151.03386,Australia
191,Beresfield,-32.8,151.65,Australia
192,Berkeley,-34.48333,150.85,Australia
193,Berkeley Vale,-33.35,151.43333,Australia
194,Berkshire Park,-33.67283,150.77523,Australia
195,Bermagui,-36.419,150.06355,Australia
196,Berowra,-33.62078,151.15091,Australia
197,Berowra Heights,-33.61211,151.13754,Australia
198,Berridale,-36.36673,148.82772,Australia
199,Berrigan,-35.75192,145.66984,Australia
200,Berry,-34.77507,150.69436,Australia
201,Beverley Park,-33.97707,151.13437,Australia
202,Beverly Hills,-33.94799,151.07979,Australia
203,Bexley,-33.95,151.11667,Australia
204,Bexley North,-33.93848,151.11385,Australia
205,Bidwill,-33.73013,150.82219,Australia
206,Bilambil Heights,-28.2161,153.48415,Australia
207,Bilgola Plateau,-33.64781,151.31212,Australia
208,Bingara,-29.86931,150.57204,Australia
209,Birchgrove,-33.85164,151.18243,Australia
210,Birmingham Gardens,-32.89368,151.69009,Australia
211,Birrong,-33.89255,151.02075,Australia
212,Blackalls Park,-32.99893,151.58018,Australia
213,Blackbutt,-34.57164,150.83804,Australia
214,Blackett,-33.73792,150.81812,Australia
215,Blackheath,-33.63567,150.28318,Australia
216,Blacksmiths,-33.07167,151.65533,Australia
217,Blacktown,-33.74016,150.86253,Australia
218,Blackwall,-33.50252,151.32786,Australia
219,Blair Athol,-30.65,150.2,Australia
220,Blakehurst,-33.99152,151.10876,Australia
221,Bland,-33.91904,146.92718,Australia
222,Blaxland,-33.75,150.6,Australia
223,Blayney,-33.61653,149.13046,Australia
224,Bligh Park,-33.63985,150.80248,Australia
225,Blue Bay,-33.35413,151.50024,Australia
226,Blue Haven,-33.21106,151.50351,Australia
227,Blue Mountains Municipality,-33.63203,150.41293,Australia
228,Boambee,-30.33981,153.06783,Australia
229,Boambee East,-30.34662,153.0732,Australia
230,Bogan,-31.57012,146.90617,Australia
231,Bogangar,-28.32944,153.5686,Australia
232,Boggabri,-30.70953,150.04121,Australia
233,Bolton Point,-33.00177,151.61013,Australia
234,Bolwarra Heights,-32.701,151.58541,Australia
235,Bomaderry,-34.84967,150.61093,Australia
236,Bombala,-36.91212,149.23669,Australia
237,Bondi,-33.89429,151.26444,Australia
238,Bondi Beach,-33.89079,151.27852,Australia
239,Bondi Junction,-33.89275,151.24723,Australia
240,Bonnells Bay,-33.10973,151.53226,Australia
241,Bonnet Bay,-34.01023,151.05253,Australia
242,Bonny Hills,-31.59061,152.83908,Australia
243,Bonnyrigg,-33.89357,150.88908,Australia
244,Bonnyrigg Heights,-33.89117,150.86994,Australia
245,Bonville,-30.38284,153.05959,Australia
246,Booker Bay,-33.5125,151.3459,Australia
247,Booragul,-32.97486,151.60978,Australia
248,Boorowa,-34.43661,148.71634,Australia
249,Bossley Park,-33.86184,150.8841,Australia
250,Botany,-33.94599,151.19591,Australia
251,Botany Bay,-33.9466,151.19874,Australia
252,Bourke,-29.99584,145.3616,Australia
253,Bourkelands,-35.15593,147.34704,Australia
254,Bow Bowing,-34.01655,150.8403,Australia
255,Bowen Mountain,-33.57192,150.62563,Australia
256,Bowenfels,-33.48336,150.13444,Australia
257,Bowral,-34.4775,150.4204,Australia
258,Bowraville,-30.64997,152.85146,Australia
259,Bradbury,-34.0854,150.81541,Australia
260,Braidwood,-35.44148,149.7998,Australia
261,Branxton,-32.65547,151.35113,Australia
262,Breakfast Point,-33.84286,151.11072,Australia
263,Brewarrina,-29.95055,147.1476,Australia
264,Brighton-Le-Sands,-33.96009,151.1511,Australia
265,Bringelly,-33.93333,150.73333,Australia
266,Broadmeadow,-32.92371,151.72849,Australia
267,Broken Hill,-31.9652,141.4512,Australia
268,Broken Hill Municipality,-31.95,141.43333,Australia
269,Bronte,-33.90198,151.26556,Australia
270,Brookvale,-33.76108,151.27446,Australia
271,Broulee,-35.85469,150.17392,Australia
272,Brunswick Heads,-28.54003,153.54573,Australia
273,Budgewoi,-33.2339,151.55412,Australia
274,Buff Point,-33.22285,151.53125,Australia
275,Bulahdelah,-32.40698,152.21185,Australia
276,Bullaburra,-33.72922,150.41766,Australia
277,Bulli,-34.33834,150.91347,Australia
278,Bundanoon,-34.65658,150.29623,Australia
279,Bundeena,-34.08384,151.15016,Australia
280,Bungarribee,-33.77704,150.86799,Australia
281,Bungendore,-35.25382,149.44007,Australia
282,Buronga,-34.1707,142.1735,Australia
283,Burradoo,-34.5032,150.409,Australia
284,Burraneer,-34.05625,151.1381,Australia
285,Burrill Lake,-35.38716,150.44952,Australia
286,Burwood,-33.88536,151.10481,Australia
287,Busby,-33.91124,150.88068,Australia
288,Buttaba,-33.05327,151.57866,Australia
289,Buxton,-34.26017,150.53288,Australia
290,Byron Bay,-28.64989,153.61246,Australia
291,Byron Shire,-28.61667,153.51667,Australia
292,Bywong,-35.16476,149.32892,Australia
293,Cabarita,-33.84721,151.11638,Australia
294,Cabonne,-33.11076,148.82694,Australia
295,Cabramatta,-33.89743,150.93446,Australia
296,Cabramatta West,-33.89303,150.9119,Australia
297,Caddens,-33.77415,150.74126,Australia
298,Calala,-31.17356,150.98059,Australia
299,Callaghan,-32.89205,151.70531,Australia
300,Callala Bay,-34.99668,150.72281,Australia
301,Cambewarra Village,-34.82335,150.5594,Australia
302,Cambridge Gardens,-33.73801,150.72075,Australia
303,Cambridge Park,-33.74784,150.72208,Australia
304,Camden,-34.0161,150.72521,Australia
305,Camden Haven,-31.64484,152.79462,Australia
306,Camden South,-34.08312,150.69491,Australia
307,Cameron Park,-32.90701,151.60528,Australia
308,Cammeray,-33.82132,151.21609,Australia
309,Campbelltown,-34.06667,150.81667,Australia
310,Campbelltown Municipality,-34.08333,150.83333,Australia
